utm_campaign_name,marketing_event_type,marketing_event_target,orders,total_sales
8f92210122-EMAIL_CAMPAIGN_2017_07_27,newsletter,email,2,407.40
06_1_Newsletter_Ocean_Button,,,2,406.00
02.13.17 newsletter shop paisley,,,3,401.00
10.05.17,,,2,396.00
adc46a4d3f-EMAIL_CAMPAIGN_2017_10_02,,,2,396.00
c860750f76-New+Subscriber+Welcome+Automation,follow_up,,2,392.40
PBG Holiday Sale_Video,,,1,381.00
01.19.17,,,1,377.00
FB_Post_Launch_Fall_1,,,1,376.50
05_08_2017_Newsletter_Image_3,,,2,376.00
10.09.17,,,2,376.00
05_18_2017_Image_1,,,2,376.00
10.31.16 newsletter shop farrah dress,,,1,376.00
e20b763f2e-EMAIL_CAMPAIGN_2017_09_14_A,,,7,376.00
300c57123c-August Launch_08_03,newsletter,email,1,376.00
03.06.17 newsletter shop dresses,,,4,366.00
04.17..2017_Shop_Botanical,,,4,366.00
June_5_2017_Newsletter_New_Arrivals,,,2,366.00
684e1ab2ca-EMAIL_CAMPAIGN_2017_08_12,,,2,366.00
e7bae721bd-Welcome Email (no offer),,,1,356.00
July_27_2017_Newsletter_Shop_Dresses,newsletter,email,2,356.00
Newsletter Header,newsletter,email,1,356.00
8f92210122-EMAIL_CAMPAIGN_2017_07_27,,,4,356.00
05_30_Newsletter_Mary_Pat_image,,,2,356.00
5978d2ed87-EMAIL_CAMPAIGN_2017_07_31,,,3,356.00
01.26.17 newsletter shop dresses,,,2,346.00
May_15_Bethany_2,,,1,346.00
July_31_2017_Newsletter_Collection,,,2,346.00
July_13_2017_Newsletter_Flash_Button,newsletter,email,2,345.80
1a015d42ba-EMAIL_CAMPAIGN_2017_10_12,,,3,307.00
06_1_Newsletter_Beth_Button,,,2,306.00
03.30.17_flash_sale,,,2,302.40
607d05dc9c-EMAIL_CAMPAIGN_2017_07_31,newsletter,email,1,296.00
09.21.17,,,2,286.60
June_12_2017_June_Shop-the-print,,,2,280.00
01.12.17 newsletter shop cashmere,,,1,271.00
c860750f76-New Subscriber Welcome Automation,newsletter,,3,263.20
300c57123c-August+Launch_08_03,newsletter,,1,258.00
July_13_2017_Newsletter_Flash_Shop_Second_Image,,,2,249.20
FB_10_6_AD,,,1,248.00
05_10_Post_Golf,,,1,246.00
3a580662a9-EMAIL_CAMPAIGN_2017_07_24,,,2,239.00
2a2c6d2924-EMAIL_CAMPAIGN_2017_10_16,follow_up,,1,238.00
10.27.16 newsletter shop premier ponte,,,2,238.00
02.23.17,,,1,238.00
12.5.16 newsletter holiday collection,,,1,238.00
october2017,newsletter,,1,238.00
11.14.16,,,1,228.80
June_12_2017_newsletter_June_collection,,,2,228.00
07.10.17,,,1,213.00
01.30.17,,,1,208.00
11.28.16 newsletter shop accessories,,,3,199.20
31657866c6-EMAIL_CAMPAIGN_2017_09_11,,,2,199.20
07.27.17,,,1,198.20
10-17_Video_Blue,,,2,198.00
10.31.16 newsletter shop sabine dress,,,1,198.00
July_29_2017_Newsletter_Shop_Collection,,,1,198.00
03.27.17 newsletter abstract geo,,,2,198.00
02.02.17,,,1,198.00
June_29_2017_Newsletter_Shop_June_Collection,,,2,198.00
10.24.17,,,1,188.00
48f17a1319-EMAIL_CAMPAIGN_2017_10_19_NEW,,,2,188.00
June_2017_Video_4_Awareness,,,1,188.00
July_6_2017_newsletter_Dresses,newsletter,email,1,188.00
8753e3dfac-EMAIL_CAMPAIGN_2017_08_21,,,1,188.00
June_2017_Video_1,,,3,188.00
6ae45df2c1-EMAIL_CAMPAIGN_2017_10_26_2017,,,1,188.00
05_02_2017_Mother's Day,,,1,188.00
July_17_2017_Newsletter_Shop_Print,,,1,188.00
May_Launch_Video_3,,,1,188.00
