# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
bm23 / email,20171030,"20,445",38.96%,"7,965",40.78%,3.51,00:04:08,2.01%,411,"$74,903.44"
Facebook / paidsocial,20170509,"20,418",33.04%,"6,746",21.16%,5.68,00:05:14,1.08%,221,"$38,824.85"
google / cpc,20171024,"20,189",61.96%,"12,510",31.37%,3.86,00:04:26,1.17%,237,"$35,616.92"
Facebook / paidsocial,20170809,"20,112",30.65%,"6,165",23.41%,5.80,00:05:04,1.16%,233,"$34,242.16"
ls / affiliate,20170511,"20,068",52.05%,"10,446",25.50%,3.51,00:03:17,2.32%,465,"$77,907.91"
Rebecca Minkoff Newsletter / email,20160225,"19,960",25.94%,"5,177",28.59%,4.38,00:03:56,1.23%,245,"$39,133.91"
(direct) / (none),20171028,"19,892",72.89%,"14,499",41.56%,4.53,00:04:57,1.86%,370,"$69,561.32"
(direct) / (none),20160401,"19,822",85.97%,"17,041",39.05%,1.36,00:00:30,0.11%,21,"$4,666.03"
Rebecca Minkoff Newsletter / email,20160427,"19,822",28.39%,"5,628",16.49%,4.65,00:04:18,0.53%,106,"$20,279.56"
google / organic,20160510,"19,760",40.74%,"8,051",11.03%,6.47,00:09:42,2.22%,439,"$76,175.13"
cj / affiliate,20160512,"19,721",52.24%,"10,302",15.57%,3.57,00:04:07,1.48%,292,"$57,435.79"
(direct) / (none),20160404,"19,690",85.15%,"16,767",39.69%,1.43,00:00:34,0.08%,16,"$2,867.10"
facebook / paidsocial,20161026,"19,487",38.72%,"7,546",25.39%,5.54,00:04:49,0.75%,147,"$22,691.40"
(direct) / (none),20160403,"19,380",86.22%,"16,710",39.57%,1.36,00:00:28,0.04%,7,"$1,716.37"
(direct) / (none),20160402,"19,315",85.95%,"16,601",39.70%,1.38,00:00:34,0.08%,15,"$4,206.88"
Rebecca Minkoff Newsletter / email,20160301,"19,248",23.96%,"4,612",29.61%,4.29,00:03:57,0.64%,124,"$22,571.02"
google / cpc,20171025,"19,211",61.39%,"11,794",35.43%,3.60,00:04:03,1.04%,199,"$33,161.12"
(direct) / (none),20160323,"18,939",84.65%,"16,032",48.71%,1.62,00:00:47,0.06%,11,"$1,484.62"
bm23 / email,20161029,"18,912",22.48%,"4,252",28.16%,4.70,00:03:55,1.11%,209,"$39,847.64"
bm23 / email,20161123,"18,877",22.32%,"4,213",11.55%,6.96,00:06:36,2.68%,505,"$89,382.96"
google / cpc,20160510,"18,833",38.11%,"7,177",13.44%,5.46,00:07:07,2.07%,390,"$63,299.76"
(direct) / (none),20160407,"18,788",89.95%,"16,899",43.45%,1.43,00:00:36,0.13%,24,"$4,423.34"
(direct) / (none),20160408,"18,757",87.48%,"16,408",40.62%,1.35,00:00:30,0.12%,22,"$4,056.76"
facebook / paidsocial,20171024,"18,731",75.90%,"14,216",41.22%,2.68,00:03:09,0.35%,65,"$12,136.97"
Facebook / paidsocial,20170511,"18,708",32.90%,"6,155",25.14%,4.97,00:04:34,1.14%,213,"$36,233.74"
ls / affiliate,20171026,"18,702",63.21%,"11,821",49.14%,3.09,00:03:16,2.07%,387,"$62,645.33"
ls / affiliate,20161211,"18,683",47.95%,"8,958",24.93%,4.39,00:04:04,1.43%,267,"$31,814.69"
google / cpc,20171026,"18,682",60.68%,"11,336",39.08%,3.43,00:03:42,0.94%,175,"$29,608.97"
ls / affiliate,20170420,"18,654",51.41%,"9,590",27.46%,3.89,00:03:43,1.24%,232,"$32,605.17"
bm23 / email,20161118,"18,530",26.06%,"4,828",29.76%,4.93,00:04:30,0.91%,169,"$31,066.31"
cj / affiliate,20160510,"18,503",45.30%,"8,382",13.27%,5.21,00:07:04,2.59%,479,"$81,045.66"
ls / affiliate,20171028,"18,468",57.42%,"10,605",54.43%,2.70,00:02:32,1.50%,277,"$45,617.95"
(direct) / (none),20161124,"18,461",70.85%,"13,080",28.49%,4.58,00:04:49,1.15%,212,"$33,574.91"
bm23 / email,20161125,"18,436",21.34%,"3,934",21.26%,5.92,00:05:49,3.37%,622,"$104,002.01"
ls / affiliate,20161212,"18,390",45.36%,"8,341",25.62%,4.59,00:04:30,2.18%,400,"$50,219.53"
(direct) / (none),20160406,"18,373",88.83%,"16,320",42.90%,1.51,00:00:39,0.13%,23,"$2,856.25"
ls / affiliate,20161126,"18,292",48.36%,"8,846",17.23%,5.09,00:05:18,3.57%,653,"$94,043.89"
google / cpc,20160512,"18,266",50.97%,"9,311",12.07%,5.31,00:05:06,1.37%,250,"$38,504.44"
ls / affiliate,20161128,"18,176",48.77%,"8,864",17.87%,5.07,00:05:08,5.05%,917,"$135,697.90"
(direct) / (none),20160510,"18,174",69.65%,"12,658",12.48%,4.69,00:06:43,1.46%,266,"$44,713.33"
bm23 / email,20170218,"18,132",28.44%,"5,156",24.94%,5.01,00:04:23,0.62%,112,"$18,843.72"
facebook / paidsocial,20160512,"18,052",29.30%,"5,290",14.45%,4.12,00:03:44,0.85%,153,"$28,146.94"
facebook / paidsocial,20161025,"17,967",38.30%,"6,881",26.25%,5.27,00:04:31,0.84%,151,"$22,715.08"
Rebecca Minkoff Newsletter / email,20160224,"17,930",23.38%,"4,192",23.07%,5.59,00:06:40,1.50%,269,"$40,008.95"
eean / affiliate,20160602,"17,888",35.63%,"6,373",14.65%,5.60,00:05:42,2.17%,388,"$47,338.79"
(direct) / (none),20161123,"17,838",74.17%,"13,230",27.38%,4.56,00:04:47,1.09%,195,"$29,757.60"
(direct) / (none),20161125,"17,821",67.61%,"12,048",23.68%,4.54,00:04:31,2.36%,420,"$65,153.77"
bm23 / email,20170123,"17,789",25.15%,"4,474",27.55%,4.98,00:04:36,0.69%,122,"$17,796.78"
bm23 / email,20170512,"17,771",27.37%,"4,864",29.27%,4.88,00:04:36,1.47%,261,"$43,686.08"
ls / affiliate,20170116,"17,667",42.87%,"7,574",24.87%,3.92,00:03:41,1.70%,300,"$34,611.53"
(direct) / (none),20160405,"17,615",88.63%,"15,612",41.57%,1.45,00:00:36,0.10%,18,"$3,252.79"
ls / affiliate,20170602,"17,609",48.71%,"8,578",23.74%,4.93,00:05:12,3.46%,610,"$83,217.47"
bm23 / email,20161030,"17,544",24.89%,"4,367",29.91%,4.80,00:04:08,1.53%,268,"$42,611.92"
ls / affiliate,20170115,"17,423",47.21%,"8,226",22.71%,4.40,00:04:07,2.22%,387,"$39,021.49"
bm23 / email,20160629,"17,366",26.44%,"4,591",23.68%,6.00,00:06:08,1.47%,255,"$34,717.11"
Rebecca Minkoff Newsletter / email,20160211,"17,307",23.91%,"4,138",30.78%,4.33,00:03:45,0.44%,77,"$12,390.48"
ls / affiliate,20171027,"17,296",60.95%,"10,542",50.36%,2.90,00:02:53,1.87%,323,"$54,537.62"
google / cpc,20160511,"17,248",41.11%,"7,091",12.52%,6.29,00:06:06,2.05%,353,"$56,381.12"
eean / affiliate,20160511,"17,232",36.91%,"6,361",9.99%,4.27,00:04:40,1.90%,327,"$55,057.32"
ls / affiliate,20170810,"17,053",51.15%,"8,722",25.70%,4.39,00:04:42,3.04%,519,"$79,013.82"
bm23 / email,20161128,"16,989",22.99%,"3,905",14.43%,6.17,00:05:45,3.71%,631,"$95,648.08"
bm23 / email,20170816,"16,938",31.76%,"5,379",27.87%,5.26,00:04:49,1.58%,268,"$38,989.20"
google / organic,20161125,"16,913",44.22%,"7,479",13.51%,6.75,00:06:32,3.13%,530,"$89,314.86"
bm23 / email,20170107,"16,895",20.78%,"3,510",24.91%,5.71,00:04:50,1.49%,252,"$31,872.63"
ls / affiliate,20170324,"16,838",48.62%,"8,187",27.58%,4.32,00:04:45,2.76%,464,"$68,681.74"
cj / affiliate,20160602,"16,766",40.62%,"6,810",19.50%,4.73,00:05:52,3.19%,534,"$68,186.46"
